method,statistic,p.value,retained_grid_points,kind,scenario,n,effect,repetition,B,seed
naive Euclidean-angle HSIC anti-example,0.00208944317737852,0.374,NA,null,N3_uniform_vonmises,100,0,140,499,20662006
first-order trigonometric moment diagnostic,0.00521958275790884,0.978,NA,null,N3_uniform_vonmises,100,0,140,499,20662006
HSIC fixed,0.103354347215732,0.712,NA,null,N3_uniform_vonmises,100,0,141,499,20662016
HSIC median,0.0142905684383081,0.82,NA,null,N3_uniform_vonmises,100,0,141,499,20662016
HSIC standardized multi-scale,-0.949269985892336,0.936,6,null,N3_uniform_vonmises,100,0,141,499,20662016
naive Euclidean-angle HSIC anti-example,0.000607666530973794,0.962,NA,null,N3_uniform_vonmises,100,0,141,499,20662016
first-order trigonometric moment diagnostic,0.0312688861050363,0.536,NA,null,N3_uniform_vonmises,100,0,141,499,20662016
HSIC fixed,0.184343194126528,0.212,NA,null,N3_uniform_vonmises,100,0,142,499,20662026
HSIC median,0.0349420910826538,0.168,NA,null,N3_uniform_vonmises,100,0,142,499,20662026
HSIC standardized multi-scale,0.323005306339652,0.508,6,null,N3_uniform_vonmises,100,0,142,499,20662026
naive Euclidean-angle HSIC anti-example,0.00234753133305533,0.284,NA,null,N3_uniform_vonmises,100,0,142,499,20662026
first-order trigonometric moment diagnostic,0.0861125179671415,0.092,NA,null,N3_uniform_vonmises,100,0,142,499,20662026
HSIC fixed,0.197799511004696,0.196,NA,null,N3_uniform_vonmises,100,0,143,499,20662036
HSIC median,0.0327901636369903,0.1,NA,null,N3_uniform_vonmises,100,0,143,499,20662036
HSIC standardized multi-scale,1.61709154170608,0.102,6,null,N3_uniform_vonmises,100,0,143,499,20662036
naive Euclidean-angle HSIC anti-example,0.00330130209274803,0.09,NA,null,N3_uniform_vonmises,100,0,143,499,20662036
first-order trigonometric moment diagnostic,0.0520099013510905,0.268,NA,null,N3_uniform_vonmises,100,0,143,499,20662036
HSIC fixed,0.152869511424568,0.23,NA,null,N3_uniform_vonmises,100,0,144,499,20662046
HSIC median,0.0801591815610892,0.166,NA,null,N3_uniform_vonmises,100,0,144,499,20662046
HSIC standardized multi-scale,-0.534211423029214,0.84,6,null,N3_uniform_vonmises,100,0,144,499,20662046
naive Euclidean-angle HSIC anti-example,0.00154172174897378,0.516,NA,null,N3_uniform_vonmises,100,0,144,499,20662046
first-order trigonometric moment diagnostic,0.0924119221175189,0.086,NA,null,N3_uniform_vonmises,100,0,144,499,20662046
HSIC fixed,0.174678773016643,0.296,NA,null,N3_uniform_vonmises,100,0,145,499,20662056
HSIC median,0.0255373397339841,0.248,NA,null,N3_uniform_vonmises,100,0,145,499,20662056
HSIC standardized multi-scale,0.27997481661352,0.522,6,null,N3_uniform_vonmises,100,0,145,499,20662056
naive Euclidean-angle HSIC anti-example,0.00172125442471679,0.46,NA,null,N3_uniform_vonmises,100,0,145,499,20662056
first-order trigonometric moment diagnostic,0.03051515223895,0.528,NA,null,N3_uniform_vonmises,100,0,145,499,20662056
HSIC fixed,0.148576330259706,0.342,NA,null,N3_uniform_vonmises,100,0,146,499,20662066
HSIC median,0.0397968470418604,0.39,NA,null,N3_uniform_vonmises,100,0,146,499,20662066
HSIC standardized multi-scale,-0.0620401306630228,0.666,6,null,N3_uniform_vonmises,100,0,146,499,20662066
naive Euclidean-angle HSIC anti-example,0.00155238302925022,0.558,NA,null,N3_uniform_vonmises,100,0,146,499,20662066
first-order trigonometric moment diagnostic,0.0658861122472096,0.188,NA,null,N3_uniform_vonmises,100,0,146,499,20662066
HSIC fixed,0.106388026717253,0.726,NA,null,N3_uniform_vonmises,100,0,147,499,20662076
HSIC median,0.0189375788677646,0.584,NA,null,N3_uniform_vonmises,100,0,147,499,20662076
HSIC standardized multi-scale,-1.10221990114535,0.952,6,null,N3_uniform_vonmises,100,0,147,499,20662076
naive Euclidean-angle HSIC anti-example,0.00319276585284151,0.156,NA,null,N3_uniform_vonmises,100,0,147,499,20662076
first-order trigonometric moment diagnostic,0.0169603931602955,0.752,NA,null,N3_uniform_vonmises,100,0,147,499,20662076
HSIC fixed,0.0998013747973886,0.788,NA,null,N3_uniform_vonmises,100,0,148,499,20662086
HSIC median,0.0114684406447938,0.82,NA,null,N3_uniform_vonmises,100,0,148,499,20662086
HSIC standardized multi-scale,0.888966051411028,0.304,6,null,N3_uniform_vonmises,100,0,148,499,20662086
naive Euclidean-angle HSIC anti-example,0.00126927717091044,0.738,NA,null,N3_uniform_vonmises,100,0,148,499,20662086
first-order trigonometric moment diagnostic,0.0127535980794903,0.842,NA,null,N3_uniform_vonmises,100,0,148,499,20662086
HSIC fixed,0.0897698162657621,0.826,NA,null,N3_uniform_vonmises,100,0,149,499,20662096
HSIC median,0.00937592482367482,0.898,NA,null,N3_uniform_vonmises,100,0,149,499,20662096
HSIC standardized multi-scale,-0.2739595583486,0.71,5,null,N3_uniform_vonmises,100,0,149,499,20662096
naive Euclidean-angle HSIC anti-example,0.000901691561686045,0.884,NA,null,N3_uniform_vonmises,100,0,149,499,20662096
first-order trigonometric moment diagnostic,0.00720157970579484,0.944,NA,null,N3_uniform_vonmises,100,0,149,499,20662096
HSIC fixed,0.094443424486561,0.776,NA,null,N3_uniform_vonmises,100,0,150,499,20662106
HSIC median,0.0206693643256866,0.786,NA,null,N3_uniform_vonmises,100,0,150,499,20662106
HSIC standardized multi-scale,-0.345213475785976,0.772,6,null,N3_uniform_vonmises,100,0,150,499,20662106
naive Euclidean-angle HSIC anti-example,0.00140859200726001,0.634,NA,null,N3_uniform_vonmises,100,0,150,499,20662106
first-order trigonometric moment diagnostic,0.0161099963637413,0.802,NA,null,N3_uniform_vonmises,100,0,150,499,20662106
HSIC fixed,0.224056775735944,0.054,NA,null,N3_uniform_vonmises,100,0,151,499,20662116
HSIC median,0.104247678835048,0.05,NA,null,N3_uniform_vonmises,100,0,151,499,20662116
HSIC standardized multi-scale,0.39748213376761,0.49,6,null,N3_uniform_vonmises,100,0,151,499,20662116
naive Euclidean-angle HSIC anti-example,0.00245933402466686,0.206,NA,null,N3_uniform_vonmises,100,0,151,499,20662116
first-order trigonometric moment diagnostic,0.0911186434520661,0.098,NA,null,N3_uniform_vonmises,100,0,151,499,20662116
HSIC fixed,0.109160996730516,0.646,NA,null,N3_uniform_vonmises,100,0,152,499,20662126
HSIC median,0.0246849149911444,0.514,NA,null,N3_uniform_vonmises,100,0,152,499,20662126
HSIC standardized multi-scale,-0.357645744749959,0.762,6,null,N3_uniform_vonmises,100,0,152,499,20662126
naive Euclidean-angle HSIC anti-example,0.00252520844827959,0.258,NA,null,N3_uniform_vonmises,100,0,152,499,20662126
first-order trigonometric moment diagnostic,0.0481634471528887,0.318,NA,null,N3_uniform_vonmises,100,0,152,499,20662126
HSIC fixed,0.233086406025332,0.122,NA,null,N3_uniform_vonmises,100,0,153,499,20662136
HSIC median,0.0216143430038511,0.288,NA,null,N3_uniform_vonmises,100,0,153,499,20662136
HSIC standardized multi-scale,2.54686093364681,0.034,6,null,N3_uniform_vonmises,100,0,153,499,20662136
naive Euclidean-angle HSIC anti-example,0.00237646070222434,0.282,NA,null,N3_uniform_vonmises,100,0,153,499,20662136
first-order trigonometric moment diagnostic,0.0163783067428498,0.814,NA,null,N3_uniform_vonmises,100,0,153,499,20662136
HSIC fixed,0.129200654434868,0.538,NA,null,N3_uniform_vonmises,100,0,154,499,20662146
HSIC median,0.0176085162497921,0.488,NA,null,N3_uniform_vonmises,100,0,154,499,20662146
HSIC standardized multi-scale,-0.635824974618315,0.858,6,null,N3_uniform_vonmises,100,0,154,499,20662146
naive Euclidean-angle HSIC anti-example,0.0014411697372706,0.552,NA,null,N3_uniform_vonmises,100,0,154,499,20662146
first-order trigonometric moment diagnostic,0.0462912767001354,0.328,NA,null,N3_uniform_vonmises,100,0,154,499,20662146
HSIC fixed,0.129733915406314,0.274,NA,null,N3_uniform_vonmises,100,0,155,499,20662156
HSIC median,0.161916910691093,0.262,NA,null,N3_uniform_vonmises,100,0,155,499,20662156
HSIC standardized multi-scale,-0.103273583419841,0.66,6,null,N3_uniform_vonmises,100,0,155,499,20662156
naive Euclidean-angle HSIC anti-example,0.00248527650871932,0.234,NA,null,N3_uniform_vonmises,100,0,155,499,20662156
first-order trigonometric moment diagnostic,0.0487729732653528,0.296,NA,null,N3_uniform_vonmises,100,0,155,499,20662156
HSIC fixed,0.227077821145967,0.086,NA,null,N3_uniform_vonmises,100,0,156,499,20662166
HSIC median,0.0677798419449904,0.056,NA,null,N3_uniform_vonmises,100,0,156,499,20662166
HSIC standardized multi-scale,2.89718046120328,0.018,6,null,N3_uniform_vonmises,100,0,156,499,20662166
naive Euclidean-angle HSIC anti-example,0.00344323503107299,0.09,NA,null,N3_uniform_vonmises,100,0,156,499,20662166
first-order trigonometric moment diagnostic,0.0975545984664239,0.058,NA,null,N3_uniform_vonmises,100,0,156,499,20662166
HSIC fixed,0.221082729705893,0.132,NA,null,N3_uniform_vonmises,100,0,157,499,20662176
HSIC median,0.022111718259287,0.132,NA,null,N3_uniform_vonmises,100,0,157,499,20662176
HSIC standardized multi-scale,-0.101431182938641,0.64,6,null,N3_uniform_vonmises,100,0,157,499,20662176
naive Euclidean-angle HSIC anti-example,0.00168845785555723,0.46,NA,null,N3_uniform_vonmises,100,0,157,499,20662176
first-order trigonometric moment diagnostic,0.0890209291501991,0.07,NA,null,N3_uniform_vonmises,100,0,157,499,20662176
HSIC fixed,0.086741184544881,0.88,NA,null,N3_uniform_vonmises,100,0,158,499,20662186
HSIC median,0.00739134688914872,0.82,NA,null,N3_uniform_vonmises,100,0,158,499,20662186
HSIC standardized multi-scale,0.382427219913465,0.472,6,null,N3_uniform_vonmises,100,0,158,499,20662186
naive Euclidean-angle HSIC anti-example,0.00119346866445407,0.698,NA,null,N3_uniform_vonmises,100,0,158,499,20662186
first-order trigonometric moment diagnostic,0.0330595002457303,0.502,NA,null,N3_uniform_vonmises,100,0,158,499,20662186
HSIC fixed,0.147520149031699,0.502,NA,null,N3_uniform_vonmises,100,0,159,499,20662196
HSIC median,0.0161072562459689,0.566,NA,null,N3_uniform_vonmises,100,0,159,499,20662196
HSIC standardized multi-scale,0.573743133506719,0.414,6,null,N3_uniform_vonmises,100,0,159,499,20662196
naive Euclidean-angle HSIC anti-example,0.00112951649175602,0.794,NA,null,N3_uniform_vonmises,100,0,159,499,20662196
first-order trigonometric moment diagnostic,0.0448448212105766,0.358,NA,null,N3_uniform_vonmises,100,0,159,499,20662196
HSIC fixed,0.188893201960593,0.196,NA,null,N3_uniform_vonmises,100,0,160,499,20662206
HSIC median,0.0324772412815814,0.162,NA,null,N3_uniform_vonmises,100,0,160,499,20662206
HSIC standardized multi-scale,0.907355985307624,0.29,6,null,N3_uniform_vonmises,100,0,160,499,20662206
naive Euclidean-angle HSIC anti-example,0.00207013011218094,0.346,NA,null,N3_uniform_vonmises,100,0,160,499,20662206
first-order trigonometric moment diagnostic,0.0330825616764442,0.496,NA,null,N3_uniform_vonmises,100,0,160,499,20662206
HSIC fixed,0.133511742693031,0.444,NA,null,N3_uniform_vonmises,100,0,161,499,20662216
HSIC median,0.0318564379882045,0.574,NA,null,N3_uniform_vonmises,100,0,161,499,20662216
HSIC standardized multi-scale,0.446442726663935,0.45,6,null,N3_uniform_vonmises,100,0,161,499,20662216
naive Euclidean-angle HSIC anti-example,0.00185058004615031,0.468,NA,null,N3_uniform_vonmises,100,0,161,499,20662216
first-order trigonometric moment diagnostic,0.0360363811385768,0.422,NA,null,N3_uniform_vonmises,100,0,161,499,20662216
HSIC fixed,0.101901063923237,0.762,NA,null,N3_uniform_vonmises,100,0,162,499,20662226
HSIC median,0.0192457694044028,0.622,NA,null,N3_uniform_vonmises,100,0,162,499,20662226
HSIC standardized multi-scale,0.709384942133983,0.36,6,null,N3_uniform_vonmises,100,0,162,499,20662226
naive Euclidean-angle HSIC anti-example,0.000969211553113071,0.848,NA,null,N3_uniform_vonmises,100,0,162,499,20662226
first-order trigonometric moment diagnostic,0.0290910175061519,0.512,NA,null,N3_uniform_vonmises,100,0,162,499,20662226
HSIC fixed,0.131897308650898,0.526,NA,null,N3_uniform_vonmises,100,0,163,499,20662236
HSIC median,0.0269928472894727,0.276,NA,null,N3_uniform_vonmises,100,0,163,499,20662236
HSIC standardized multi-scale,-0.721905872669112,0.858,6,null,N3_uniform_vonmises,100,0,163,499,20662236
naive Euclidean-angle HSIC anti-example,0.0021972071067959,0.352,NA,null,N3_uniform_vonmises,100,0,163,499,20662236
first-order trigonometric moment diagnostic,0.0403101267204286,0.436,NA,null,N3_uniform_vonmises,100,0,163,499,20662236
HSIC fixed,0.207404471228098,0.156,NA,null,N3_uniform_vonmises,100,0,164,499,20662246
HSIC median,0.0369745774207528,0.118,NA,null,N3_uniform_vonmises,100,0,164,499,20662246
HSIC standardized multi-scale,2.43552463646109,0.038,6,null,N3_uniform_vonmises,100,0,164,499,20662246
naive Euclidean-angle HSIC anti-example,0.0022179018224975,0.308,NA,null,N3_uniform_vonmises,100,0,164,499,20662246
first-order trigonometric moment diagnostic,0.0383129454889367,0.392,NA,null,N3_uniform_vonmises,100,0,164,499,20662246
HSIC fixed,0.0780057493399285,0.836,NA,null,N3_uniform_vonmises,100,0,165,499,20662256
HSIC median,0.029953409333682,0.622,NA,null,N3_uniform_vonmises,100,0,165,499,20662256
HSIC standardized multi-scale,0.772203045135872,0.284,5,null,N3_uniform_vonmises,100,0,165,499,20662256
naive Euclidean-angle HSIC anti-example,0.00195985590950136,0.408,NA,null,N3_uniform_vonmises,100,0,165,499,20662256
first-order trigonometric moment diagnostic,0.0219647123705922,0.634,NA,null,N3_uniform_vonmises,100,0,165,499,20662256
HSIC fixed,0.248477723541436,0.05,NA,null,N3_uniform_vonmises,100,0,166,499,20662266
HSIC median,0.11902827515331,0.01,NA,null,N3_uniform_vonmises,100,0,166,499,20662266
HSIC standardized multi-scale,0.99870837566819,0.244,5,null,N3_uniform_vonmises,100,0,166,499,20662266
naive Euclidean-angle HSIC anti-example,0.00343517381561585,0.1,NA,null,N3_uniform_vonmises,100,0,166,499,20662266
first-order trigonometric moment diagnostic,0.0782129473491893,0.138,NA,null,N3_uniform_vonmises,100,0,166,499,20662266
HSIC fixed,0.138520598881937,0.458,NA,null,N3_uniform_vonmises,100,0,167,499,20662276
HSIC median,0.0239075783800545,0.472,NA,null,N3_uniform_vonmises,100,0,167,499,20662276
HSIC standardized multi-scale,-1.11952965003382,0.946,6,null,N3_uniform_vonmises,100,0,167,499,20662276
naive Euclidean-angle HSIC anti-example,0.00195959257501289,0.366,NA,null,N3_uniform_vonmises,100,0,167,499,20662276
first-order trigonometric moment diagnostic,0.056874876692535,0.242,NA,null,N3_uniform_vonmises,100,0,167,499,20662276
HSIC fixed,0.201629785653028,0.118,NA,null,N3_uniform_vonmises,100,0,168,499,20662286
HSIC median,0.0603442612962871,0.122,NA,null,N3_uniform_vonmises,100,0,168,499,20662286
HSIC standardized multi-scale,1.03837588736559,0.272,6,null,N3_uniform_vonmises,100,0,168,499,20662286
naive Euclidean-angle HSIC anti-example,0.00326012083428423,0.138,NA,null,N3_uniform_vonmises,100,0,168,499,20662286
first-order trigonometric moment diagnostic,0.0593176669206036,0.202,NA,null,N3_uniform_vonmises,100,0,168,499,20662286
HSIC fixed,0.14128211939498,0.392,NA,null,N3_uniform_vonmises,100,0,169,499,20662296
HSIC median,0.0318039638986811,0.432,NA,null,N3_uniform_vonmises,100,0,169,499,20662296
HSIC standardized multi-scale,1.3949810569392,0.164,6,null,N3_uniform_vonmises,100,0,169,499,20662296
naive Euclidean-angle HSIC anti-example,0.0018006317570204,0.414,NA,null,N3_uniform_vonmises,100,0,169,499,20662296
first-order trigonometric moment diagnostic,0.0186136656189858,0.682,NA,null,N3_uniform_vonmises,100,0,169,499,20662296
HSIC fixed,0.0721665632814751,0.898,NA,null,N3_uniform_vonmises,100,0,170,499,20662306
HSIC median,0.0136363506776439,0.836,NA,null,N3_uniform_vonmises,100,0,170,499,20662306
HSIC standardized multi-scale,-1.55836733597745,0.996,6,null,N3_uniform_vonmises,100,0,170,499,20662306
naive Euclidean-angle HSIC anti-example,0.00192424602483138,0.386,NA,null,N3_uniform_vonmises,100,0,170,499,20662306
first-order trigonometric moment diagnostic,0.0366929844782866,0.446,NA,null,N3_uniform_vonmises,100,0,170,499,20662306
HSIC fixed,0.193349132071202,0.178,NA,null,N3_uniform_vonmises,100,0,171,499,20662316
HSIC median,0.0373823430676462,0.148,NA,null,N3_uniform_vonmises,100,0,171,499,20662316
HSIC standardized multi-scale,-0.049625055009963,0.66,6,null,N3_uniform_vonmises,100,0,171,499,20662316
naive Euclidean-angle HSIC anti-example,0.00324639749197316,0.144,NA,null,N3_uniform_vonmises,100,0,171,499,20662316
first-order trigonometric moment diagnostic,0.0845717603032832,0.116,NA,null,N3_uniform_vonmises,100,0,171,499,20662316
HSIC fixed,0.131494023241664,0.362,NA,null,N3_uniform_vonmises,100,0,172,499,20662326
HSIC median,0.0448837043810816,0.366,NA,null,N3_uniform_vonmises,100,0,172,499,20662326
HSIC standardized multi-scale,0.0848303027339574,0.574,6,null,N3_uniform_vonmises,100,0,172,499,20662326
naive Euclidean-angle HSIC anti-example,0.00188992384390906,0.4,NA,null,N3_uniform_vonmises,100,0,172,499,20662326
first-order trigonometric moment diagnostic,0.0443302781927007,0.382,NA,null,N3_uniform_vonmises,100,0,172,499,20662326
HSIC fixed,0.133771216138618,0.38,NA,null,N3_uniform_vonmises,100,0,173,499,20662336
HSIC median,0.044830623100836,0.312,NA,null,N3_uniform_vonmises,100,0,173,499,20662336
HSIC standardized multi-scale,0.734561435342855,0.322,6,null,N3_uniform_vonmises,100,0,173,499,20662336
naive Euclidean-angle HSIC anti-example,0.00178109003790652,0.414,NA,null,N3_uniform_vonmises,100,0,173,499,20662336
first-order trigonometric moment diagnostic,0.0220897299495632,0.66,NA,null,N3_uniform_vonmises,100,0,173,499,20662336
HSIC fixed,0.106809586765914,0.666,NA,null,N3_uniform_vonmises,100,0,174,499,20662346
HSIC median,0.0254269239283036,0.67,NA,null,N3_uniform_vonmises,100,0,174,499,20662346
HSIC standardized multi-scale,-0.160055877259025,0.72,6,null,N3_uniform_vonmises,100,0,174,499,20662346
naive Euclidean-angle HSIC anti-example,0.00172207478900509,0.536,NA,null,N3_uniform_vonmises,100,0,174,499,20662346
first-order trigonometric moment diagnostic,0.0487216518640007,0.328,NA,null,N3_uniform_vonmises,100,0,174,499,20662346
HSIC fixed,0.133547817373529,0.506,NA,null,N3_uniform_vonmises,100,0,175,499,20662356
HSIC median,0.0164838075865003,0.614,NA,null,N3_uniform_vonmises,100,0,175,499,20662356
HSIC standardized multi-scale,1.46671343203302,0.16,6,null,N3_uniform_vonmises,100,0,175,499,20662356
naive Euclidean-angle HSIC anti-example,0.000822973546996142,0.916,NA,null,N3_uniform_vonmises,100,0,175,499,20662356
